"             ELEM1","             ELEM2","                 X","                 Y","                 Z","              FLOW","            FLOW_G","            FLOW_L","            FLOW_N","     FDIFF_WATER_L","        FDIFF_O2_L","    FDIFF_Toluen_L"
"                  ","                  ","               (M)","               (M)","               (M)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)"
"TIME [sec]  0.10000000E+03"
"               c 4","               c 3",  0.25000000000E+003,  0.50000000000E+000, -0.11000000000E+003,  0.44466078193E-004,  0.00000000000E+000,  0.44466078193E-004,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.77433885898E-027
"               d 4","               d 3",  0.35000000000E+003,  0.50000000000E+000, -0.11000000000E+003,  0.44466078193E-004,  0.00000000000E+000,  0.44466078193E-004,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.77433885898E-027
"               e 4","               e 3",  0.45000000000E+003,  0.50000000000E+000, -0.11000000000E+003,  0.44466078193E-004,  0.00000000000E+000,  0.44466078193E-004,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.77433885898E-027
"               f 4","               f 3",  0.55000000000E+003,  0.50000000000E+000, -0.11000000000E+003,  0.44466078193E-004,  0.00000000000E+000,  0.44466078193E-004,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.77433885898E-027
"               g 4","               g 3",  0.65000000000E+003,  0.50000000000E+000, -0.11000000000E+003,  0.44466078193E-004,  0.00000000000E+000,  0.44466078193E-004,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.77433885898E-027
"               h 4","               h 3",  0.75000000000E+003,  0.50000000000E+000, -0.11000000000E+003,  0.44466078193E-004,  0.00000000000E+000,  0.44466078193E-004,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.77433885898E-027
"               i 4","               i 3",  0.85000000000E+003,  0.50000000000E+000, -0.11000000000E+003,  0.44466078193E-004,  0.00000000000E+000,  0.44466078193E-004,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.77433885898E-027
"               j 4","               j 3",  0.95000000000E+003,  0.50000000000E+000, -0.11000000000E+003,  0.44466078193E-004,  0.00000000000E+000,  0.44466078193E-004,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.77433885898E-027
"               a 4","               b 4",  0.10000000000E+003,  0.50000000000E+000, -0.11250000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.87438682442E-042
"               b 4","               c 4",  0.20000000000E+003,  0.50000000000E+000, -0.11250000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
